road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,84.0,0.81,1.0049668550491333,1537364.4214658504,5196147.218716465,,2.99
Wolffs Road,415.0,87.0,1.33,1.0001219511032104,1539443.955700194,5194931.518565687,,3.51
Poyntzs Road,711.0,146.0,1.92,0.8090463876724243,1541585.8043228807,5193790.498106957,,4.09
Pesters Road,291.0,67.0,2.33,0.5460174679756165,1543534.0241761813,5194511.775579985,,4.5
Downs Road,446.0,102.0,3.42,1.3370739221572876,1547917.0034496055,5192967.073606641,,5.59
Browns Road,470.0,92.0,4.53,0.7186810970306396,1551816.242646211,5192072.626696352,,6.7
Two Chain Road,548.0,99.0,5.6,0.6757060289382935,1555337.8146257182,5191721.685708716,,7.78
Diversion Road,98.0,32.0,7.83,0.44946688413619995,1561297.4663685923,5191123.265061008,,10.01
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.7690653204917908,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,34.0,8.33,0.4014154076576233,1560045.5554751782,5193363.06007188,,10.5
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
