road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,85.0,0.81,1.0049821138381958,1537364.4214658504,5196147.218716465,,2.99
Wolffs Road,415.0,87.0,1.33,0.9981362223625183,1539443.955700194,5194931.518565687,,3.51
Poyntzs Road,711.0,147.0,1.92,0.8104385137557983,1541585.8043228807,5193790.498106957,,4.09
Pesters Road,291.0,70.0,2.42,0.5675865411758423,1543534.0241761813,5194511.775579985,,4.59
Downs Road,446.0,111.0,3.42,1.5865403413772583,1547907.6125981607,5193016.183808322,,5.59
Browns Road,470.0,82.0,4.75,0.7165185809135437,1551897.4551773246,5192167.650508053,,6.92
Two Chain Road,548.0,93.0,5.83,0.680418848991394,1555270.3285756547,5191587.724396962,,8.01
Diversion Road,98.0,34.0,8.23,0.43706902861595154,1561304.0641227649,5191073.70227618,,10.4
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.8277739882469177,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,29.0,8.92,0.3973292410373688,1560045.5554751782,5193363.06007188,,11.09
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
