road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,86.0,0.82,1.0143790245056152,1537343.845188636,5196075.0964812245,,2.99
Wolffs Road,415.0,91.0,1.33,1.0006523132324219,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,146.0,1.92,0.8430019021034241,1541521.8880767797,5193683.075048518,,4.09
Pesters Road,291.0,68.0,2.39,0.5848201513290405,1543534.0241761813,5194511.775579985,,4.57
Downs Road,446.0,113.0,3.42,1.5274510383605957,1547931.0897267729,5192893.4083041195,,5.59
Browns Road,470.0,86.0,4.75,0.6097981929779053,1551927.4943389832,5192207.5038359,,6.92
Two Chain Road,548.0,91.0,5.83,0.6496405005455017,1555371.5576507498,5191788.6663645925,,8.01
Diversion Road,98.0,32.0,8.08,0.32794061303138733,1561310.311093997,5190974.430343832,,10.25
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.8190734386444092,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,21.0,8.76,0.5818032622337341,1560069.7725921855,5193356.852717866,,10.93
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
