road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,153.0,0.65,1.0582975149154663,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,151.0,1.08,1.011976718902588,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,207.0,1.58,0.9508435726165771,1541355.7058369173,5193403.775096578,,1.58
Pesters Road,291.0,92.0,2.0,1.1504303216934204,1543534.0241761813,5194511.775579985,,2.0
Downs Road,446.0,202.0,2.92,1.7003657817840576,1547931.0897267729,5192893.4083041195,,2.92
Browns Road,470.0,233.0,4.0,0.89437335729599,1551864.970164879,5192129.640983373,,4.0
Two Chain Road,548.0,250.0,4.92,0.8742124438285828,1555371.5576507498,5191788.6663645925,,4.92
Diversion Road,98.0,91.0,6.58,0.49139347672462463,1561310.311093997,5190974.430343832,,6.58
Wrights Road,447.0,81.0,0.17,2.0568079948425293,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,160.0,0.47,0.8792588710784912,1534266.8503174644,5197698.619257786,,0.47
South Eyre Road,1465.0,531.0,8.18,1.1776702404022217,1562489.2144522136,5193052.0532720955,,8.18
Thongcaster Road,382.0,29.0,,0.22588256001472473,,,,
Domain Road,280.0,16.0,0.5,0.5319444537162781,1535346.8918373112,5197609.710656399,,0.5
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
