road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,113.0,0.65,1.0559868812561035,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,90.0,1.08,0.9627201557159424,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,145.0,1.58,0.7887639999389648,1541892.962217253,5194305.913966384,,1.58
Pesters Road,291.0,67.0,2.08,0.5428776144981384,1543534.0241761813,5194511.775579985,,2.08
Downs Road,446.0,107.0,3.17,1.4486064910888672,1547931.0897267729,5192893.4083041195,,3.17
Browns Road,470.0,86.0,4.5,0.5813071131706238,1551686.3025964294,5191920.588597631,,4.5
Two Chain Road,548.0,88.0,5.66,0.6204497814178467,1555158.953396126,5191365.400921876,,5.66
Diversion Road,98.0,33.0,7.98,0.3152160942554474,1561310.311093997,5190974.430343832,,7.98
Wrights Road,447.0,63.0,0.17,2.0551178455352783,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,152.0,0.41,0.8676456212997437,1535033.9865374814,5197471.678693016,,0.41
South Eyre Road,1465.0,24.0,8.67,0.5969290137290955,1560021.3383581708,5193369.267425894,,8.67
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,16.0,0.55,0.5036655068397522,1535346.8918373112,5197609.710656399,,0.55
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
